id,url,title,lead_paragraph,category,publish_datetime,source,thumbnail_url,label,province_fixed,province_names,is_noise,noise_reasons
article_3594,https://baomoi.com/de-xuat-xay-dung-dai-lo-va-canh-quan-ven-song-hong-c52575181.epi,Đề xuất xây dựng đại lộ và cảnh quan ven sông Hồng - Chuyên trang An Ninh Thủ Đô,"'Trục xương sống' chiến lược đại lộ và cảnh quan ven sông Hồng quy mô khoảng 7.800 ha sẽ có tổng chiều dài khoảng 40km trải dài 13 quận, huyện và 55 phường, xã của Thủ đô.",Other,2025-06-23T11:04:48.000Z,Báo Mới,data/images/article_3594_image.png,non-clickbait,False,,False,
article_1069,https://baomoi.com/ruc-ro-sac-mau-the-thao-bien-c52572197.epi,Rực rỡ sắc màu thể thao biển,"'Ngày hội SUP - Da Nang Colorful Festival' là một trong những hoạt động nổi bật thuộc chuỗi chương trình Lễ hội Tận hưởng Đà Nẵng 2025, thu hút đông đảo người dân và du khách cùng tham gia trải nghiệm, lan tỏa lối sống tích cực, gắn kết cộng đồng.",Other,2025-06-23T06:22:00.000Z,Báo Mới,data/images/article_1069_image.png,non-clickbait,False,,False,
article_0835,https://vnexpress.net/nhung-lam-tuong-pho-bien-ve-suc-manh-cua-smartphone-4904703.html,Những lầm tưởng phổ biến về sức mạnh của smartphone,"RAM cao hơn không nhất thiết giúp điện thoại nhanh hơn, nhiều megapixel và camera hơn cũng không đảm bảo ảnh đẹp hơn.",Công nghệ & Khoa học,2025-06-22T15:45:00+07:00,VnExpress,data/images/article_0835_image.png,non-clickbait,False,,False,
article_3751,https://www.24h.com.vn/am-thuc/vuong-quoc-kem-voi-vi-ca-thu-than-cui-c460a1658035.html,"Vương quốc kem với vị cá thu, than củi","Đến vương quốc kem Litva, nơi người dân tiêu thụ trung bình 9 kg kem mỗi năm, du khách có thể tìm thấy một bản đồ các loại kem, từ vị cá thu, than củi, nấm cho đến rượu vang.",Du lịch & Ẩm thực,2025-04-19T12:00:00+07:00,24h,data/images/article_3751_image.png,clickbait,False,,False,
article_0877,https://tuoitre.vn/ly-do-cong-ty-an-cung-ba-tuyet-giai-the-20250622214959111.htm,Lý do Công ty Ăn Cùng Bà Tuyết giải thể,Công ty cổ phần thương mại dịch vụ Ăn Cùng Bà Tuyết vừa chính thức hoàn tất thủ tục giải thể. Còn hộ kinh doanh cá thể do ông Nguyễn Minh Trường - con trai bà Tuyết - trực tiếp điều hành vẫn hoạt động bình thường.,Kinh doanh & Kinh tế,2025-06-22T22:20:07+07:00,Tuổi Trẻ,data/images/article_0877_image.png,clickbait,False,,False,
article_1178,https://tuoitre.vn/kham-pha-search-live-cong-cu-tim-kiem-bang-giong-noi-moi-cua-google-20250620135219093.htm,"Khám phá Search Live, công cụ tìm kiếm bằng giọng nói mới của Google","Search Live cho phép người dùng đặt câu hỏi bằng giọng nói và nhận ngay phản hồi âm thanh từ AI. Lịch sử trò chuyện được lưu trong AI Mode, giúp bạn dễ dàng tra cứu lại khi cần.",Công nghệ & Khoa học,2025-06-22T07:10:47+07:00,Tuổi Trẻ,data/images/article_1178_image.png,non-clickbait,False,,False,
article_0676,https://vietnamnet.vn/gia-vang-hom-nay-22-6-2025-vang-nhan-tang-nua-trieu-dong-2413710.html,"Giá vàng hôm nay 22/6/2025: Thế giới quay đầu giảm, vàng nhẫn tăng vọt","Giá vàng hôm nay 22/6/2025 trên thế giới lại quay đầu giảm trong phiên giao dịch cuối tuần, nhưng các chuyên gia cho rằng không nên vội bán vàng. Trong nước, giá vàng nhẫn vẫn tăng nửa triệu đồng/lượng.",Kinh doanh & Kinh tế,"Chủ Nhật, 22/06/2025 - 05:30",VietNamNet,data/images/article_0676_image.png,non-clickbait,False,,False,
article_1247,https://vietnamnet.vn/dung-coi-xep-muc-luong-cao-nhat-cho-nha-giao-la-mot-an-hue-2413801.html,Đừng coi 'xếp mức lương cao nhất' cho nhà giáo là một ân huệ,"Theo tiến sĩ Hoàng Ngọc Vinh, việc xếp ""mức lương cao nhất"" cho nhà giáo không nên được xem là đặc quyền, mà phải là sự trả công đúng với những giá trị thực chất mà người thầy mang lại.",Giáo dục & Học đường,2025-06-23T05:30:00+07:00,VietNamNet,data/images/article_1247_image.png,non-clickbait,False,,False,
article_0178,https://www.24h.com.vn/tin-tuc-trong-ngay/nuoc-dang-cao-tung-phut-xuyen-dem-cuu-dan-thoat-khoi-ron-lu-nguy-hiem-c46a1675002.html,"Nước dâng cao từng phút, xuyên đêm cứu dân thoát khỏi rốn lũ nguy hiểm","Trong đêm 22/6, rạng sáng 23/6, lực lượng chức năng Lạng Sơn, trong đó chủ công là Công an địa phương huy động nhân lực, phương tiện đến các ngõ xóm trong mênh mông biển nước để đưa người dân đến nơi an toàn.",Tin tức tổng hợp,2025-06-23T10:14:00+07:00,24h,data/images/article_0178_image.png,non-clickbait,False,,False,
article_2741,https://baomoi.com/khong-phai-iphone-nao-cung-duoc-huong-tron-tinh-nang-ios-26-c52572632.epi,Không phải iPhone nào cũng được hưởng trọn tính năng iOS 26,"Bên cạnh đổi mới giao diện, iOS 26 còn mang đến nhiều tính năng mới. Tuy nhiên, không phải iPhone nào cũng được hưởng trọn vẹn hệ điều hành này.",Other,2025-06-23T07:22:00.000Z,Báo Mới,data/images/article_2741_image.png,non-clickbait,False,,False,
article_2172,https://baomoi.com/phan-ung-bat-ngo-cua-dao-dien-nguyen-quang-dung-khi-bui-lan-huong-lan-dau-ket-hop-voi-bui-cong-nam-c52572592.epi,Phản ứng bất ngờ của đạo diễn Nguyễn Quang Dũng khi Bùi Lan Hương lần đầu kết hợp với Bùi Công Nam - Chuyên trang Sinh viên Việt Nam,"Lần đầu tiên kết hợp trong một sản phẩm nhạc phim, Bùi Lan Hương và Bùi Công Nam tạo nên ca khúc 'Một mình ở đây' đầy da diết, khắc khoải, để lại nhiều cảm xúc cho người nghe.",Other,2025-06-23T07:21:59.000Z,Báo Mới,data/images/article_2172_image.png,clickbait,False,,False,
article_1640,https://baomoi.com/can-tho-ho-tro-hoc-bong-cho-gan-300-thi-sinh-thi-tot-nghiep-trung-hoc-pho-thong-c52573046.epi,Cần Thơ hỗ trợ học bổng cho gần 300 thí sinh thi tốt nghiệp trung học phổ thông,"Ngày 23/6, Sở Giáo dục và Đào tạo thành phố Cần Thơ cho biết công tác chuẩn bị cho kỳ thi tốt nghiệp trung học phổ thông năm 2025 đã hoàn tất.",Giáo dục & Học đường,2025-06-23T08:12:00.000Z,Báo Mới,data/images/article_1640_image.png,non-clickbait,False,,False,
article_3148,https://vietnamnet.vn/tu-1-7-chu-tich-ubnd-cap-xa-duoc-cap-so-do-lan-dau-2412193.html,"Từ 1/7, chủ tịch UBND cấp xã được cấp sổ đỏ lần đầu, không quá 3 ngày làm việc","Từ 1/7, chủ tịch UBND cấp xã sẽ có thẩm quyền cấp giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất lần đầu cho người dân. Thời gian cấp giấy chứng nhận không quá 3 ngày làm việc.",Other,2025-06-17T11:55:00+07:00,VietNamNet,data/images/article_3148_image.png,non-clickbait,False,,False,
article_2808,https://tuoitre.vn/nam-sinh-bac-ninh-dat-1-600-sat-co-ielts-8-0-tu-lop-11-20250622182727357.htm,"Nam sinh Bắc Ninh đạt 1.600 SAT, có IELTS 8.0 từ lớp 11","Sau lần thi SAT đầu tiên bị hủy kết quả không rõ nguyên nhân, ở lần thi thứ hai Phạm Trần Tiến Khánh chỉ ôn luyện trước 3 tuần, rồi giành điểm tuyệt đối 1.600/1.600.",Giáo dục & Học đường,2025-06-23T06:20:00+07:00,Tuổi Trẻ,data/images/article_2808_image.png,non-clickbait,False,,False,
article_3234,https://baomoi.com/bac-si-canh-bao-3-nhom-nguoi-neu-nhuom-toc-co-the-gay-ung-thu-bang-quang-dung-chu-quan-c52574091.epi,Bác sĩ cảnh báo 3 nhóm người nếu nhuộm tóc có thể gây ung thư bàng quang: Đừng chủ quan - Chuyên trang Góc nhìn pháp lý,"Đối với người tiêu dùng thông thường, dù nguy cơ từ nhuộm tóc là khá thấp, vẫn nên hạn chế nhuộm quá thường xuyên. Đồng thời, có thể hỗ trợ cơ thể đào thải độc tố qua chế độ ăn uống hợp lý.",Other,2025-06-23T09:42:00.000Z,Báo Mới,data/images/article_3234_image.png,clickbait,False,,False,
article_1308,https://www.24h.com.vn/thi-truong-tieu-dung/sua-hiup-gia-gia-xuat-xuong-87800-dong-lon-ban-ra-cao-gap-7-lan-bat-ngo-thanh-phan-thuc-te-c52a1674581.html,"Sữa HIUP giả: Giá xuất xưởng 87.800 đồng/lon, bán ra cao gấp 7 lần, bất ngờ thành phần thực tế","Theo báo cáo, giá xuất xưởng mỗi lon sữa là 87.800 đồng, nhưng được bán ra thị trường với giá trung bình hơn 546.000 đồng/lon – gấp gần 7 lần giá gốc, doanh thu lên tới 6.700 tỷ đồng.",Kinh doanh & Kinh tế,2025-06-21T15:00:00+07:00,24h,data/images/article_1308_image.png,clickbait,False,,False,
article_0146,https://kenh14.vn/meichan-len-tieng-khi-bi-to-lua-doi-fan-215250622221119926.chn,Meichan lên tiếng khi bị tố lừa dối fan,Meichan nhắc lại sự việc đã xảy ra và xem như đây là cách khép lại vụ việc.,Sức khỏe & Đời sống,2025-06-23T06:41:00,Kênh14,data/images/article_0146_image.png,clickbait,False,,False,
article_0155,https://www.saostar.vn/giai-tri/nam-ca-si-viet-bi-tai-nan-mat-mot-tay-gio-ban-tra-sua-nuoi-3-con-202506221652343204.html,"Nam ca sĩ Việt bị tai nạn mất một tay, giờ bán trà sữa nuôi 3 con",Nam ca sĩ trải lòng về mong muốn được đi hát trở lại vì đây là đam mê cũng như có thể giúp anh trang trải cuộc sống.,Giải trí & Showbiz,2025-06-22T19:00:27.588+07:00,SaoStar,data/images/article_0155_image.png,clickbait,False,,False,
article_2429,https://baomoi.com/cong-an-ha-noi-khoi-to-tiktoker-vu-hong-phuc-cun-bong-c52573944.epi,Công an Hà Nội khởi tố Tiktoker Vũ Hồng Phúc 'Cún Bông',"Vũ Hồng Phúc 'Cún Bông' vừa bị cơ quan điều tra Công an TP Hà Nội khởi tố vì có vi phạm trong hoạt động kinh doanh các loại hoa quả, thực phẩm chức năng số lượng lớn tại cửa hàng VHP và qua các kênh thương mại điện tử và mạng xã hội.",Chính trị & An ninh,2025-06-23T09:39:00.000Z,Báo Mới,data/images/article_2429_image.png,non-clickbait,False,,False,
article_1616,https://www.24h.com.vn/bong-da/bang-xep-hang-v-league-c48a427024.html,"Bảng xếp hạng V-League, BXH bóng đá Việt Nam mới nhất","Bảng xếp hạng V League. Cập nhật bảng xếp hạng bóng đá Việt Nam hôm nay. BXH giải bóng đá vô địch quốc gia mới, nhanh chính xác nhất.",Thể thao,2025-06-23T03:44:00+07:00,24h,data/images/article_1616_image.png,non-clickbait,False,,False,
article_0855,https://vnexpress.net/midjourney-ra-ai-tao-video-canh-tranh-veo-3-sora-4903989.html,"Midjourney ra AI tạo video cạnh tranh Veo 3, Sora","Midjourney V1 là mô hình tạo video từ ảnh và văn bản, được đánh giá có độ chân thực cùng tính sáng tạo cao và chi phí thấp.",Công nghệ & Khoa học,2025-06-20T10:53:00+07:00,VnExpress,data/images/article_0855_image.png,non-clickbait,False,,False,
article_1091,https://baomoi.com/he-y-nghia-voi-lop-hoc-goi-banh-chung-c52571531.epi,Hè ý nghĩa với lớp học gói bánh chưng,"Mỗi dịp nghỉ hè, nhiều người cao tuổi tại phường Nguyễn Thị Minh Khai (TP. Bắc Kạn) lại mở những lớp học kỹ năng sống miễn phí cho học sinh. Dịp này, các em được trải nghiệm gói bánh chưng- nét văn hóa ẩm thực truyền thống của người Việt.",Văn hóa & Nghệ thuật,2025-06-23T05:02:05.000Z,Báo Mới,data/images/article_1091_image.png,non-clickbait,False,,False,
article_3071,https://vnexpress.net/infinite-machine-olto-xe-may-dien-phong-cach-tuong-lai-4899212.html,Infinite Machine Olto - xe máy điện phong cách tương lai,"MỹOlto có tốc độ tối đa 32 km/h, được phép chạy ở làn xe đạp, nhưng có thể mở khóa chế độ Off-road để đạt 53 km/h.",Other,2025-06-18T05:00:00+07:00,VnExpress,data/images/article_3071_image.png,non-clickbait,False,,False,
article_0651,https://thanhnien.vn/quyet-dinh-cua-chu-tich-fed-185250619212616466.htm,Quyết định của Chủ tịch Fed,"Tổng thống Mỹ Donald Trump không thể không bực bội về việc Cục Dự trữ liên bang Mỹ (Fed) quyết định giữ nguyên chứ không giảm lãi suất cơ bản. Thái độ của ông Trump nhằm trước hết vào người đứng đầu đương nhiệm của Fed, ông Jerome Powell.",Other,2025-06-20T09:44:00+07:00,Thanh Niên,data/images/article_0651_image.png,clickbait,False,,False,
article_1889,https://www.saostar.vn/song-khoe/8-dau-hieu-canh-bao-than-dang-gap-van-de-202505311859056543.html,"8 dấu hiệu cảnh báo thận đang gặp vấn đề, tuyệt đối không nên bỏ qua","Thận đóng vai trò then chốt trong việc lọc máu, điều hòa huyết áp cũng như loại bỏ độc tố ra khỏi cơ thể.",Sức khỏe & Đời sống,2025-05-31T20:00:00.000+07:00,SaoStar,data/images/article_1889_image.png,clickbait,False,,False,
article_1016,https://www.24h.com.vn/kinh-doanh/nhung-co-may-san-xuat-va-xuat-khau-vu-khi-chuc-ty-usd-cua-israel-c161a1673695.html,Những cỗ máy sản xuất và xuất khẩu vũ khí chục tỷ USD của Israel,"Israel là một trong những quốc gia xuất khẩu vũ khí hàng đầu thế giới, với ngành công nghiệp quốc phòng phát triển cao nhờ vào công nghệ tiên tiến, kinh nghiệm thực chiến và chính sách hỗ trợ xuất khẩu mạnh mẽ của chính phủ.",Kinh doanh & Kinh tế,2025-06-21T19:37:02+07:00,24h,data/images/article_1016_image.png,non-clickbait,False,,False,
article_3345,https://vnexpress.net/kinh-nghiem-cho-nguoi-lan-dau-du-lich-tau-hoa-4898590.html,Kinh nghiệm cho người lần đầu du lịch tàu hỏa,"Du khách có ý định du lịch tàu hỏa lần đầu nên tham khảo một số kinh nghiệm chọn chỗ, hướng ngồi để trải nghiệm thú vị, thoải mái suốt hành trình.",Other,2025-06-16T06:48:00+07:00,VnExpress,data/images/article_3345_image.png,non-clickbait,False,,False,
article_3340,https://vnexpress.net/du-khach-quoc-te-ke-chuyen-vuot-nang-ngam-da-o-giai-chay-quy-nhon-4899066.html,"Du khách quốc tế kể chuyện 'vượt nắng, ngâm đá' ở giải chạy Quy Nhơn","Du khách từ châu Âu, Mỹ... kể lại trải nghiệm chạy bộ dưới thời tiết nhiệt đới khi tham gia giải VnExpress Marathon Quy Nhơn 2025 hôm 15/6.",Other,2025-06-17T13:00:00+07:00,VnExpress,data/images/article_3340_image.png,clickbait,False,,False,
article_3329,https://vnexpress.net/ngay-hoi-du-lich-ket-hop-chay-bo-cua-cac-gia-dinh-tai-quy-nhon-4903131.html,Ngày hội du lịch kết hợp chạy bộ của các gia đình tại Quy Nhơn,"Bố, mẹ nắm tay con, các nhóm gia đình cùng du lịch kết hợp chạy bộ tạo không khí ngày hội gia đình tại VnExpress Marathon Quy Nhơn 2025.",Other,2025-06-18T12:30:00+07:00,VnExpress,data/images/article_3329_image.png,non-clickbait,False,,False,
article_0630,https://thanhnien.vn/diem-danh-luc-luong-my-tai-trung-dong-185250623080750943.htm,Điểm danh lực lượng Mỹ tại Trung Đông,Quân đội Mỹ hiện có hàng ngàn binh sĩ cùng nhiều khí tài được bố trí tại các căn cứ ở khắp Trung Đông.,Other,2025-06-23T08:35:00+07:00,Thanh Niên,data/images/article_0630_image.png,non-clickbait,False,,False,
article_0239,https://baomoi.com/chuyen-nhuong-v-league-moi-nhat-clb-hai-phong-chia-tay-tru-cot-c52570319.epi,Chuyển nhượng V-League mới nhất: CLB Hải Phòng chia tay trụ cột,"Thông tin chuyển nhượng V-League 2025/2026 mới nhất, hậu vệ Đặng Văn Tới chính thức nói lời chia tay CLB Hải Phòng.",Thể thao,2025-06-23T03:02:00.000Z,Báo Mới,data/images/article_0239_image.png,non-clickbait,False,,False,
article_3772,https://www.24h.com.vn/du-lich-24h/tu-mac-ocd-thanh-nguoi-tre-nhat-di-khap-the-gioi-c76a1672080.html,Từ mắc OCD thành người trẻ nhất đi khắp thế giới,"Cameron Mofid, mắc chứng rối loạn ám ảnh cưỡng chế, đã ghé thăm 195 quốc gia và vùng lãnh thổ được Liên Hợp Quốc công nhận và trở thành người trẻ nhất thế giới làm điều này.",Du lịch & Ẩm thực,2025-06-13T12:00:00+07:00,24h,data/images/article_3772_image.png,clickbait,False,,False,
article_2783,https://vnexpress.net/loat-hoat-dong-tiep-tu-tin-cho-nam-gioi-tu-romano-gen-z-4903843.html,Loạt hoạt động 'tiếp tự tin' cho nam giới từ Romano Gen Z,"Xuất hiện tại các trường học, sự kiện giải trí, Romano Gen Z mang đến những mẹo chăm sóc diện mạo và những trò chơi tương tác giúp tăng sự tự tin cho các bạn trẻ.",Other,2025-06-21T19:00:00+07:00,VnExpress,data/images/article_2783_image.png,clickbait,False,,False,
article_3141,https://vietnamnet.vn/binh-duong-co-khu-cong-nghiep-co-khi-dau-tien-rong-gan-800ha-2413340.html,Bình Dương có khu công nghiệp cơ khí đầu tiên rộng gần 800ha,"Khu công nghiệp cơ khí đầu tiên với quy mô gần 800ha, tổng vốn đầu tư hơn 12,8 nghìn tỷ đồng, chuẩn bị được khởi công tại Bình Dương, bên cạnh đó tỉnh này cũng thành lập Hiệp hội công nghiệp hỗ trợ.",Other,2025-06-20T11:24:00+07:00,VietNamNet,data/images/article_3141_image.png,non-clickbait,False,,False,
article_1092,https://baomoi.com/khan-gia-tre-yeu-thich-vo-ganh-co-song-han-c52571488.epi,Khán giả trẻ yêu thích vở 'Gánh cỏ sông Hàn',Nhiều khán giả trẻ thưởng thức trọn vẹn ý nghĩa vở 'Gánh cỏ sông Hàn' của Công ty giải trí WE,Other,2025-06-23T05:00:00.000Z,Báo Mới,data/images/article_1092_image.png,non-clickbait,False,,False,
article_0276,https://vnexpress.net/my-khong-biet-kho-uranium-cua-iran-dang-o-dau-4904995.html,Mỹ không biết kho uranium của Iran đang ở đâu,"Phó Tổng thống Vance đưa ra bình luận cho thấy kho uranium đã làm giàu của Iran vẫn nguyên vẹn sau đòn không kích của Mỹ, song chưa rõ chúng ở đâu.",Quốc tế,2025-06-23T11:53:00+07:00,VnExpress,data/images/article_0276_image.png,non-clickbait,False,,False,
article_1352,https://baomoi.com/vcbs-ap-luc-gia-dau-giam-va-ton-kho-gia-cao-loi-nhuan-quy-ii-cua-petrolimex-va-bsr-co-the-giam-2-chu-so-c52572779.epi,"VCBS: Áp lực giá dầu giảm và tồn kho giá cao, lợi nhuận quý II của Petrolimex và BSR có thể giảm 2 chữ số","Trong phân tích dự báo kết quả kinh doanh quý II của nhóm dầu khí, Chứng khoán VCBS cho rằng trong khi các doanh nghiệp dịch vụ thượng nguồn và trung nguồn ghi nhận kết quả tích cực trong quý nhờ các dự án lớn và sản lượng khí tăng, thì nhóm hạ nguồn lại chịu áp lực lợi nhuận do giá dầu giảm và tồn kho giá cao.",Other,2025-06-23T07:39:00.000Z,Báo Mới,data/images/article_1352_image.png,non-clickbait,False,,False,
article_2831,https://thanhnien.vn/minh-vuong-roi-di-the-he-vang-mot-thoi-cua-hagl-gio-o-dau-185250621165124399.htm,Minh Vương rời đi: Thế hệ vàng một thời của HAGL giờ ở đâu,"Minh Vương là một trong những cầu thủ tài năng, gắn bó lâu dài với đội bóng và là biểu tượng của sự kiên trì. Lời chia tay của anh cũng đánh dấu sự kết thúc của một thế hệ vàng của CLB HAGL, khi mà những gương mặt như Công Phượng, Xuân Trường, Tuấn Anh, Hồng Duy và Văn Toàn cũng đã có những thay đổi trong sự nghiệp.",Thể thao,2025-06-21T16:51:00+07:00,Thanh Niên,data/images/article_2831_image.png,clickbait,False,,False,
article_0629,https://thanhnien.vn/danh-bom-tu-sat-tai-nha-tho-syria-it-nhat-20-nguoi-thiet-mang-185250623081219344.htm,"Đánh bom tự sát tại nhà thờ Syria, ít nhất 20 người thiệt mạng",Bộ Nội vụ Syria cho rằng vụ việc diễn ra trong buổi thánh lễ tại một nhà thờ Chính thống giáo Hy Lạp do một kẻ đánh bom liều chết có liên hệ với tổ chức Nhà nước Hồi giáo tự xưng (IS) thực hiện.,Quốc tế,2025-06-23T08:40:00+07:00,Thanh Niên,data/images/article_0629_image.png,non-clickbait,False,,False,
article_3430,https://vietnamnet.vn/thot-tim-canh-du-luon-chao-dao-roi-roi-xuong-bien-o-ha-long-2412053.html,Thót tim cảnh dù lượn chao đảo rồi rơi xuống biển ở Hạ Long,"Chiếc dù lượn chao đảo, rồi bất ngờ rơi xuống biển trước sự chứng kiến của rất đông du khách tại bãi biển Hạ Long.",Du lịch & Ẩm thực,2025-06-16T18:06:00+07:00,VietNamNet,data/images/article_3430_image.png,non-clickbait,False,,False,
article_3301,https://vnexpress.net/show-dien-hai-ky-luc-guiness-tai-cat-ba-uu-dai-40-gia-ve-4904683.html,Show diễn hai kỷ lục Guiness tại Cát Bà ưu đãi 40% giá vé,"Show diễn nghệ thuật thể thao mạo hiểm kết hợp bắn pháo hoa ""Bản giao hưởng đảo xanh"" có mức giá ưu đãi 40% từ 20/6 đến 10/7.",Other,2025-06-22T10:30:00+07:00,VnExpress,data/images/article_3301_image.png,non-clickbait,False,,False,
article_2997,https://baomoi.com/xac-uop-5-600-nam-tuoi-he-lo-bi-mat-kho-tin-c52569142.epi,Xác ướp 5.600 năm tuổi hé lộ bí mật khó tin,"Được gọi là 'Fred', xác ướp 5.600 tuổi tìm thấy ở Ai Cập hé lộ phương pháp ướp xác lâu đời của người xưa.",Công nghệ & Khoa học,2025-06-23T00:42:00.000Z,Báo Mới,data/images/article_2997_image.png,clickbait,False,,False,
